date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:03:11	4971/4971	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/templates/starter-template/preview.html	/home/pedro/websites/Materialize/materializecss.com/templates/starter-template/preview.html	(from http://materializecss.com/getting-started.html)
17:03:18	127744/127744	---MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/fonts/roboto/Roboto-Bold.ttf	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Bold.ttf	(from http://materializecss.com/css/ghpages-materialize.css)
17:03:24	20940/20940	URF---	200	added ('OK%20(cached)')	application/eot		http://materializecss.com/fonts/roboto/Roboto-Light.eot	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Light.eot	(from http://materializecss.com/css/ghpages-materialize.css)
17:03:24	20940/20940	URF---	200	added ('OK%20(cached)')	application/eot		http://materializecss.com/fonts/roboto/Roboto-Light.eot?	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Lightd41d.eot	(from http://materializecss.com/css/ghpages-materialize.css)
17:03:37	6849/6849	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/templates/parallax-template/preview.html	/home/pedro/websites/Materialize/materializecss.com/templates/parallax-template/preview.html	(from http://materializecss.com/getting-started.html)
17:03:39	49380/49380	URF---	200	added ('OK%20(cached)')	application/woff2		http://materializecss.com/fonts/roboto/Roboto-Light.woff2	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Light.woff2	(from http://materializecss.com/css/ghpages-materialize.css)
17:03:42	21320/21320	URF---	200	added ('OK%20(cached)')	application/eot		http://materializecss.com/fonts/roboto/Roboto-Regular.eot	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Regular.eot	(from http://materializecss.com/css/ghpages-materialize.css)
17:03:43	4099/4099	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/fullscreen-slider-demo.html	/home/pedro/websites/Materialize/materializecss.com/fullscreen-slider-demo.html	(from http://materializecss.com/media.html)
17:03:45	21320/21320	URF---	200	added ('OK%20(cached)')	application/eot		http://materializecss.com/fonts/roboto/Roboto-Regular.eot?	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Regulard41d.eot	(from http://materializecss.com/css/ghpages-materialize.css)
17:03:46	49236/49236	URF---	200	added ('OK%20(cached)')	application/woff2		http://materializecss.com/fonts/roboto/Roboto-Regular.woff2	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Regular.woff2	(from http://materializecss.com/css/ghpages-materialize.css)
17:03:56	127584/127584	UR-MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/fonts/roboto/Roboto-Thin.ttf	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Thin.ttf	(from http://materializecss.com/css/ghpages-materialize.css)
17:04:02	21659/21659	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Thin.eot	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Thin.eot	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:07	21364/21364	URF---	200	added ('OK%20(cached)')	application/eot		http://materializecss.com/fonts/roboto/Roboto-Medium.eot	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Medium.eot	(from http://materializecss.com/css/ghpages-materialize.css)
17:04:08	126792/126792	UR-MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/fonts/roboto/Roboto-Light.ttf	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Light.ttf	(from http://materializecss.com/css/ghpages-materialize.css)
17:04:10	21364/21364	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/fonts/roboto/Roboto-Medium.eot?	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Mediumd41d.eot	(from http://materializecss.com/css/ghpages-materialize.css)
17:04:13	21659/21659	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Thin.eot?	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Thind41d.eot	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:14	126072/126072	UR-MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/fonts/roboto/Roboto-Regular.ttf	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Regular.ttf	(from http://materializecss.com/css/ghpages-materialize.css)
17:04:14	20966/20966	URF---	200	added ('OK%20(cached)')	application/eot		http://materializecss.com/fonts/roboto/Roboto-Bold.eot	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Bold.eot	(from http://materializecss.com/css/ghpages-materialize.css)
17:04:20	62980/62980	---M--	200	added ('OK')	application/font-woff	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/fonts/roboto/Roboto-Medium.woff	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Medium.woff	(from http://materializecss.com/css/ghpages-materialize.css)
17:04:24	20966/20966	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/fonts/roboto/Roboto-Bold.eot?	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Boldd41d.eot	(from http://materializecss.com/css/ghpages-materialize.css)
17:04:28	48524/48524	---M--	200	added ('OK')	application/font-woff2	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Thin.woff2	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Thin.woff2	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:29	49976/49976	---M--	200	added ('OK')	application/font-woff2	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/fonts/roboto/Roboto-Bold.woff2	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Bold.woff2	(from http://materializecss.com/css/ghpages-materialize.css)
17:04:31	61628/61628	---M--	200	added ('OK')	application/font-woff	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Thin.woff	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Thin.woff	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:33	127488/127488	UR-MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/fonts/roboto/Roboto-Medium.ttf	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Medium.ttf	(from http://materializecss.com/css/ghpages-materialize.css)
17:04:36	21659/21659	URF---	200	added ('OK%20(cached)')	application/eot		http://materializecss.com/dist/fonts/roboto/Roboto-Thin.eot	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Thin.eot	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:37	20940/20940	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Light.eot	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Light.eot	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:39	21659/21659	URF---	200	added ('OK%20(cached)')	application/eot		http://materializecss.com/dist/fonts/roboto/Roboto-Thin.eot?	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Thind41d.eot	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:41	48524/48524	URF---	200	added ('OK%20(cached)')	application/woff2		http://materializecss.com/dist/fonts/roboto/Roboto-Thin.woff2	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Thin.woff2	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:42	20940/20940	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Light.eot?	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Lightd41d.eot	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:45	61628/61628	URF---	200	added ('OK%20(cached)')	application/woff		http://materializecss.com/dist/fonts/roboto/Roboto-Thin.woff	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Thin.woff	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:45	127584/127584	---MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Thin.ttf	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Thin.ttf	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:46	127744/127744	UR-MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/fonts/roboto/Roboto-Bold.ttf	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Bold.ttf	(from http://materializecss.com/css/ghpages-materialize.css)
17:04:47	49380/49380	---M--	200	added ('OK')	application/font-woff2	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Light.woff2	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Light.woff2	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:48	20940/20940	URF---	200	added ('OK%20(cached)')	application/eot		http://materializecss.com/dist/fonts/roboto/Roboto-Light.eot	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Light.eot	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:49	20940/20940	URF---	200	added ('OK%20(cached)')	application/eot		http://materializecss.com/dist/fonts/roboto/Roboto-Light.eot?	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Lightd41d.eot	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:50	49380/49380	URF---	200	added ('OK%20(cached)')	application/woff2		http://materializecss.com/dist/fonts/roboto/Roboto-Light.woff2	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Light.woff2	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:50	62316/62316	---M--	200	added ('OK')	application/font-woff	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Light.woff	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Light.woff	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:52	21320/21320	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Regular.eot	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Regular.eot	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:55	21320/21320	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Regular.eot?	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Regulard41d.eot	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:55	126792/126792	---MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Light.ttf	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Light.ttf	(from http://materializecss.com/dist/css/materialize.min.css)
17:04:59	49236/49236	---M--	200	added ('OK')	application/font-woff2	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Regular.woff2	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Regular.woff2	(from http://materializecss.com/dist/css/materialize.min.css)
17:05:02	61736/61736	---M--	200	added ('OK')	application/font-woff	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Regular.woff	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Regular.woff	(from http://materializecss.com/dist/css/materialize.min.css)
17:05:04	21364/21364	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Medium.eot	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Medium.eot	(from http://materializecss.com/dist/css/materialize.min.css)
17:05:06	21364/21364	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Medium.eot?	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Mediumd41d.eot	(from http://materializecss.com/dist/css/materialize.min.css)
17:05:09	126072/126072	---MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Regular.ttf	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Regular.ttf	(from http://materializecss.com/dist/css/materialize.min.css)
17:05:11	50224/50224	---M--	200	added ('OK')	application/font-woff2	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Medium.woff2	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Medium.woff2	(from http://materializecss.com/dist/css/materialize.min.css)
17:05:13	20966/20966	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Bold.eot	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Bold.eot	(from http://materializecss.com/dist/css/materialize.min.css)
17:05:15	62980/62980	---M--	200	added ('OK')	application/font-woff	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Medium.woff	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Medium.woff	(from http://materializecss.com/dist/css/materialize.min.css)
17:05:19	127488/127488	---MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Medium.ttf	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Medium.ttf	(from http://materializecss.com/dist/css/materialize.min.css)
17:05:19	49976/49976	---M--	200	added ('OK')	application/font-woff2	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Bold.woff2	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Bold.woff2	(from http://materializecss.com/dist/css/materialize.min.css)
17:05:22	62876/62876	---M--	200	added ('OK')	application/font-woff	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Bold.woff	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Bold.woff	(from http://materializecss.com/dist/css/materialize.min.css)
17:05:22	20966/20966	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Bold.eot?	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Boldd41d.eot	(from http://materializecss.com/dist/css/materialize.min.css)
17:05:23	127744/127744	---MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Bold.ttf	/home/pedro/websites/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Bold.ttf	(from http://materializecss.com/dist/css/materialize.min.css)
17:05:23	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2002%20Aug%202016%2000:05:20%20GMT	https://unsplash.imgix.net/robots.txt		(from http://materializecss.com/fullscreen-slider-demo.html)
17:05:24	16135/16135	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/index.html	/home/pedro/websites/Materialize/materializecss.com/index-2.html	(from http://materializecss.com/parallax-demo.html)
